harry-potter-and-the-order-of-the-phoenix,0.928344
the-best-of-me,0.460045
star-wars-episode-i---the-phantom-menace,0.45265
man-on-wire,0.448074
max-steel,0.430311
people-places-things,0.426342
still-life,0.425479
cuban-fury,0.418321
harold-kumar-escape-from-guantanamo-bay,0.408904
ai-weiwei-the-fake-case,0.396309
facing-the-giants,0.388004
step-up-2-the-streets,0.373961
ninas-heavenly-delights,0.366954
it-follows,0.361879
the-overnight,0.353785
shem,0.33216
minions,0.326276
wish-i-was-here,0.321169
swiss-army-man,0.314451
the-water-horse,0.308704
the-equalizer,0.306661
a-state-of-mind,0.305546
april-and-the-extraordinary-world,0.302189
mean-girls,0.298706
laggies,0.294116
the-day-after-tomorrow,0.292192
paper-towns,0.27749
fist-fight,0.276347
brooklyn-castle,0.270963
dominion-prequel-to-the-exorcist,0.266917
born-on-the-fourth-of-july,0.266913
the-tribe,0.266776
max-2015,0.266227
case-39,0.265402
funny-people,0.264483
the-game-plan,0.263696
hoop-dreams,0.261862
the-class,0.261143
across-the-universe,0.258763
high-school-musical-3-senior-year,0.258657
the-woman-in-black,0.254359
thunder-and-the-house-of-magic,0.246437
the-blackcoats-daughter,0.245388
ragnarok,0.243346
the-way-he-looks,0.242159
devil-in-a-blue-dress,0.240738
the-chronicles-of-narnia-prince-caspian,0.239265
comic-con-episode-iv-a-fans-hope,0.232803
city-of-men,0.229859
sing-street,0.228916
